date,symbol,actualearningresult,estimatedearning,ticker
2025-07-31,AAPL,1.57,1.44,AAPL
2025-05-01,AAPL,1.65,1.63,AAPL
2025-01-30,AAPL,2.4,2.36,AAPL
2024-10-31,AAPL,1.64,1.6,AAPL
2024-08-01,AAPL,1.4,1.35,AAPL
2024-05-02,AAPL,1.53,1.5,AAPL
2024-02-01,AAPL,2.18,2.1,AAPL
2023-11-02,AAPL,1.46,1.39,AAPL
2023-08-03,AAPL,1.26,1.19,AAPL
2023-05-04,AAPL,1.52,1.43,AAPL
2023-02-02,AAPL,1.88,1.94,AAPL
2022-10-27,AAPL,1.29,1.27,AAPL
2022-07-28,AAPL,1.2,1.16,AAPL
2022-04-28,AAPL,1.52,1.43,AAPL
2022-01-27,AAPL,2.1,1.89,AAPL
2021-10-28,AAPL,1.24,1.24,AAPL
2021-07-27,AAPL,1.3,1.01,AAPL
2021-04-28,AAPL,1.4,0.99,AAPL
2021-01-27,AAPL,1.68,1.41,AAPL
2020-10-29,AAPL,0.73,0.7,AAPL
2020-07-30,AAPL,0.65,0.51,AAPL
2020-04-30,AAPL,0.64,0.57,AAPL
2020-01-28,AAPL,1.25,1.14,AAPL
2019-10-30,AAPL,0.76,0.71,AAPL
2019-07-30,AAPL,0.55,0.52,AAPL
2019-04-30,AAPL,0.62,0.59,AAPL
2019-01-29,AAPL,1.05,1.04,AAPL
2018-11-01,AAPL,0.73,0.7,AAPL
2018-07-31,AAPL,0.59,0.55,AAPL
2018-05-01,AAPL,0.68,0.67,AAPL
2018-02-01,AAPL,0.97,0.96,AAPL
2017-11-02,AAPL,0.52,0.47,AAPL
2017-08-01,AAPL,0.42,0.39,AAPL
2017-05-02,AAPL,0.53,0.5,AAPL
2017-01-31,AAPL,0.84,0.8,AAPL
2016-10-25,AAPL,0.42,0.41,AAPL
2016-07-26,AAPL,0.36,0.35,AAPL
2016-04-26,AAPL,0.48,0.5,AAPL
2016-01-26,AAPL,0.82,0.81,AAPL
2015-10-27,AAPL,0.49,0.47,AAPL
2015-07-21,AAPL,0.46,0.45,AAPL
2015-04-27,AAPL,0.58,0.54,AAPL
2015-01-27,AAPL,0.77,0.65,AAPL
2014-10-20,AAPL,0.36,0.33,AAPL
2014-07-22,AAPL,0.32,0.31,AAPL
2014-04-23,AAPL,0.42,0.36,AAPL
2014-01-27,AAPL,0.52,0.5,AAPL
2013-10-28,AAPL,0.3,0.28,AAPL
2013-07-23,AAPL,0.27,0.26,AAPL
2013-04-23,AAPL,0.36,0.36,AAPL
2013-01-23,AAPL,0.49,0.48,AAPL
2012-10-25,AAPL,0.31,0.31,AAPL
2012-07-24,AAPL,0.33,0.37,AAPL
2012-04-24,AAPL,0.44,0.36,AAPL
2012-01-24,AAPL,0.5,0.36,AAPL
2011-10-18,AAPL,0.25,0.26,AAPL
2011-07-19,AAPL,0.28,0.21,AAPL
2011-04-20,AAPL,0.23,0.19,AAPL
2011-01-18,AAPL,0.23,0.19,AAPL
2010-10-18,AAPL,0.17,0.15,AAPL
2010-07-20,AAPL,0.13,0.11,AAPL
2010-04-20,AAPL,0.12,0.09,AAPL
2010-01-25,AAPL,0.13,0.07,AAPL
2009-10-19,AAPL,0.11,0.05,AAPL
2009-07-21,AAPL,0.05,0.04347,AAPL
2009-04-22,AAPL,0.05,0.04097,AAPL
2009-01-21,AAPL,0.06,0.05,AAPL
2008-10-21,AAPL,0.05,0.04413,AAPL
2008-07-21,AAPL,0.04,0.03624,AAPL
2008-04-23,AAPL,0.04,0.037,AAPL
2008-01-22,AAPL,0.06,0.06,AAPL
2007-10-22,AAPL,0.04,0.03393,AAPL
2007-07-25,AAPL,0.03,0.02361,AAPL
2007-04-25,AAPL,0.03,0.02207,AAPL
2007-01-17,AAPL,0.04,0.02752,AAPL
2006-10-18,AAPL,0.02,0.01632,AAPL
2006-07-19,AAPL,0.02,0.01628,AAPL
2006-04-19,AAPL,0.02,0.01848,AAPL
2006-01-18,AAPL,0.02,0.01868,AAPL
2005-10-11,AAPL,0.0177,0.01733,AAPL
2005-07-13,AAPL,0.01324,0.01122,AAPL
2005-04-13,AAPL,0.01209,0.00865,AAPL
2005-01-12,AAPL,0.01257,0.00874,AAPL
2004-10-13,AAPL,0.00466,0.00316,AAPL
2004-07-14,AAPL,0.00277,0.00241,AAPL
2004-04-14,AAPL,0.00217,0.00149,AAPL
2004-01-14,AAPL,0.00302,0.00276,AAPL
2002-07-16,AAPL,0.00195,0.00189,AAPL
2002-01-16,AAPL,0.00331,0.00324,AAPL
2000-07-18,AAPL,0.00987,0.00958,AAPL
2000-04-19,AAPL,0.01143,0.01043,AAPL
2000-01-19,AAPL,0.00916,0.00823,AAPL
1999-10-13,AAPL,0.00561,0.00498,AAPL
1999-07-14,AAPL,0.01038,0.00964,AAPL
1999-04-14,AAPL,0.00696,0.00584,AAPL
1999-01-13,AAPL,0.00789,0.007,AAPL
1998-10-14,AAPL,0.00557,0.00398,AAPL
1998-07-15,AAPL,0.00525,0.00312,AAPL
1998-04-15,AAPL,0.00337,0.00131,AAPL
1998-01-14,AAPL,0.003,0.00245,AAPL
2025-05-28,NVDA,0.81,0.737,NVDA
2025-02-26,NVDA,0.89,0.848,NVDA
2024-11-20,NVDA,0.81,0.75,NVDA
2024-08-28,NVDA,0.68,0.64,NVDA
2024-05-22,NVDA,0.61,0.56,NVDA
2024-02-21,NVDA,0.52,0.46,NVDA
2023-11-21,NVDA,0.4,0.34,NVDA
2023-08-23,NVDA,0.27,0.21,NVDA
2023-05-24,NVDA,0.11,0.09,NVDA
2023-02-22,NVDA,0.09,0.08,NVDA
2022-11-16,NVDA,0.06,0.07,NVDA
2022-08-24,NVDA,0.05,0.06,NVDA
2022-05-25,NVDA,0.14,0.13,NVDA
2022-02-16,NVDA,0.13,0.12,NVDA
2021-11-17,NVDA,0.12,0.11,NVDA
2021-08-18,NVDA,0.1,0.1,NVDA
2021-05-26,NVDA,0.09,0.08,NVDA
2021-02-24,NVDA,0.08,0.07,NVDA
2020-11-18,NVDA,0.07,0.06,NVDA
2020-08-19,NVDA,0.05,0.05,NVDA
2020-05-21,NVDA,0.05,0.04684,NVDA
2020-02-13,NVDA,0.05,0.04415,NVDA
2019-11-14,NVDA,0.04,0.03538,NVDA
2019-08-15,NVDA,0.03,0.0277,NVDA
2019-05-16,NVDA,0.02,0.0184,NVDA
2019-02-14,NVDA,0.02,0.01878,NVDA
2018-11-15,NVDA,0.05,0.05,NVDA
2018-08-16,NVDA,0.05,0.05,NVDA
2018-05-10,NVDA,0.05,0.03886,NVDA
2018-02-08,NVDA,0.04,0.02977,NVDA
2017-11-09,NVDA,0.03,0.0213,NVDA
2017-08-10,NVDA,0.03,0.02275,NVDA
2017-05-09,NVDA,0.02,0.01669,NVDA
2017-02-09,NVDA,0.02,0.01672,NVDA
2016-11-10,NVDA,0.02,0.01358,NVDA
2016-08-11,NVDA,0.01,0.00934,NVDA
2016-05-12,NVDA,0.01,0.00963,NVDA
2016-02-17,NVDA,0.01,0.00909,NVDA
2015-11-05,NVDA,0.01,0.00571,NVDA
2015-05-07,NVDA,0.01,0.01079,NVDA
2015-02-11,NVDA,0.01,0.00816,NVDA
2014-11-06,NVDA,0.01,0.00919,NVDA
2013-11-07,NVDA,0.01,0.00975,NVDA
2010-08-12,NVDA,-0.00615,-0.00358,NVDA
2006-11-09,NVDA,0.07,0.06,NVDA
2003-11-06,NVDA,0.00031,0.00026,NVDA
2003-08-07,NVDA,0.00115,0.00157,NVDA
2003-05-08,NVDA,0.00098,0.00086,NVDA
2003-02-13,NVDA,0.00253,0.00101,NVDA
2002-11-07,NVDA,-0.00264,-0.0022,NVDA
2002-08-15,NVDA,0.00026,0.00028,NVDA
2001-02-15,NVDA,0.0016,0.01276,NVDA
2000-11-09,NVDA,0.00145,0.05,NVDA
2000-08-21,NVDA,0.00059,0.00055,NVDA
2000-05-16,NVDA,0.00098,0.00082,NVDA
2000-02-15,NVDA,0.00081,0.00074,NVDA
1999-11-18,NVDA,0.00063,0.0005,NVDA
1999-08-18,NVDA,0.00042,0.0004,NVDA
1999-05-18,NVDA,0.02,0.01502,NVDA
2025-07-23,GOOG,2.31,2.18,GOOG
2025-04-24,GOOG,2.81,2.02,GOOG
2025-02-04,GOOG,2.15,2.12,GOOG
2024-10-29,GOOG,2.12,1.85,GOOG
2024-07-23,GOOG,1.89,1.84,GOOG
2024-04-25,GOOG,1.89,1.51,GOOG
2024-01-30,GOOG,1.64,1.59,GOOG
2023-10-24,GOOG,1.55,1.45,GOOG
2023-07-25,GOOG,1.44,1.34,GOOG
2023-04-25,GOOG,1.17,1.06,GOOG
2023-02-02,GOOG,1.05,1.19,GOOG
2022-10-25,GOOG,1.06,1.25,GOOG
2022-07-26,GOOG,1.21,1.3,GOOG
2022-04-26,GOOG,1.23,1.29,GOOG
2022-02-01,GOOG,1.53,1.38,GOOG
2021-10-26,GOOG,1.4,1.17,GOOG
2021-07-27,GOOG,1.36,0.96,GOOG
2021-04-27,GOOG,1.31,0.79,GOOG
2021-02-02,GOOG,1.12,0.8,GOOG
2020-10-29,GOOG,0.82,0.56,GOOG
2020-07-30,GOOG,0.51,0.42,GOOG
2020-04-28,GOOG,0.49,0.52,GOOG
2020-02-03,GOOG,0.77,0.63,GOOG
2019-10-28,GOOG,0.54,0.62,GOOG
2019-07-25,GOOG,0.71,0.57,GOOG
2019-04-29,GOOG,0.6,0.53,GOOG
2019-02-04,GOOG,0.64,0.54,GOOG
2018-10-25,GOOG,0.65,0.52,GOOG
2018-07-23,GOOG,0.59,0.477,GOOG
2018-04-23,GOOG,0.5,0.47,GOOG
2018-02-01,GOOG,0.48,0.498,GOOG
2017-10-26,GOOG,0.48,0.42,GOOG
2017-07-24,GOOG,0.25,0.22,GOOG
2017-04-27,GOOG,0.39,0.37,GOOG
2017-01-26,GOOG,0.47,0.48,GOOG
2016-10-27,GOOG,0.45,0.43,GOOG
2016-07-28,GOOG,0.42,0.4,GOOG
2016-04-21,GOOG,0.38,0.4,GOOG
2016-02-01,GOOG,0.43,0.4,GOOG
2015-10-22,GOOG,0.37,0.36,GOOG
2015-07-16,GOOG,0.35,0.337,GOOG
2014-04-16,GOOG,0.31,0.32,GOOG
2014-01-30,GOOG,0.6,0.62,GOOG
2013-10-17,GOOG,0.54,0.52,GOOG
2013-07-18,GOOG,0.48,0.54,GOOG
2013-04-18,GOOG,0.58,0.53,GOOG
2013-01-22,GOOG,0.53,0.53,GOOG
2012-10-18,GOOG,0.45,0.53,GOOG
