symbol,date,epsactual,epsestimated,revenueactual,revenueestimated,lastupdated
NFLX,2020-01-21,1.3,0.53,5467434000.0,2229030784.0,2025-04-25
TXN,2020-01-22,1.12,1.02,3350000000.0,3050892857.0,2025-04-25
ASML,2020-01-22,3.29,2.95,4579715585.0,3567754307.0,2025-07-17
AAPL,2020-01-28,1.25,1.14,91819000000.0,83738928000.0,2025-07-09
AMD,2020-01-28,0.32,0.3,2127000000.0,2060531250.0,2025-04-25
META,2020-01-29,2.56,2.53,21082000000.0,20834945312.0,2025-04-25
MSFT,2020-01-29,1.51,1.32,36906000000.0,32262198675.0,2025-04-24
TSLA,2020-01-29,0.14,0.11,7384000000.0,6303414634.0,2025-04-25
AMZN,2020-01-30,0.32,0.2,87436000000.0,54461681607.0,2025-04-25
GOOGL,2020-02-03,0.77,0.63,46075000000.0,37610407166.0,2025-04-25
GOOG,2020-02-03,0.77,0.63,46075000000.0,37790504885.0,2025-07-16
TMUS,2020-02-06,0.87,0.83,11878000000.0,11331885057.0,2025-04-25
CSCO,2020-02-12,0.77,0.76,12005000000.0,11849090909.0,2025-04-25
NVDA,2020-02-13,0.05,0.04415,3105000000.0,2743571428.0,2025-04-24
LIN,2020-02-13,1.89,1.84,7080000000.0,6892698412.0,2025-04-25
AZN,2020-02-14,0.45,0.53,6664000000.0,8245288135.0,2025-04-25
INTU,2020-02-24,1.16,1.02,1696000000.0,1491310344.0,2025-04-25
COST,2020-03-05,2.1,2.06,39072000000.0,38327771428.0,2025-04-24
AVGO,2020-03-12,0.53,0.52,5858000000.0,5947264761.0,2025-04-25
ASML,2020-04-15,1.12,1.47,2655795837.0,3019112592.0,2025-07-17
TXN,2020-04-21,1.24,1.0,3329000000.0,2684677419.0,2025-04-25
NFLX,2020-04-21,1.57,1.65,5767691000.0,6061586082.0,2025-04-25
GOOGL,2020-04-28,0.49,0.52,41159000000.0,43077251266.0,2025-04-25
GOOG,2020-04-28,0.49,0.52,41159000000.0,43285756838.0,2025-07-16
AMD,2020-04-28,0.18,0.18,1786000000.0,1786000000.0,2025-04-25
MSFT,2020-04-29,1.4,1.26,35021000000.0,31518900000.0,2025-04-24
META,2020-04-29,1.71,1.75,17737000000.0,18255625730.0,2025-04-25
AZN,2020-04-29,0.53,0.47,6354000000.0,5542851063.0,2025-04-25
TSLA,2020-04-29,0.08,0.01437,5985000000.0,1301086956.0,2025-04-25
AMZN,2020-04-30,0.25,0.31,75452000000.0,94126746506.0,2025-04-25
AAPL,2020-04-30,0.64,0.57,58313000000.0,51023875000.0,2025-07-09
TMUS,2020-05-06,1.1,1.02,11113000000.0,10304781818.0,2025-04-25
LIN,2020-05-07,1.89,1.83,6739000000.0,6560719576.0,2025-04-25
CSCO,2020-05-13,0.79,0.69,11983000000.0,10466164556.0,2025-04-25
NVDA,2020-05-21,0.05,0.04684,3080000000.0,2891777777.0,2025-04-24
INTU,2020-05-21,4.49,4.6,3002000000.0,3075545657.0,2025-04-25
COST,2020-05-28,1.89,1.95,37266000000.0,38449047619.0,2025-04-24
AVGO,2020-06-04,0.51,0.51,5742000000.0,5742000000.0,2025-04-25
ASML,2020-07-15,2.25,1.68,3742141382.0,3291764284.0,2025-07-17
NFLX,2020-07-16,1.59,1.81,6148286000.0,6998992238.0,2025-04-25
TXN,2020-07-21,1.48,0.88,3239000000.0,2550712500.0,2025-04-25
TSLA,2020-07-22,0.15,0.01084,6036000000.0,411545454.0,2025-04-25
MSFT,2020-07-22,1.46,1.34,38033000000.0,34907000000.0,2025-04-24
AMD,2020-07-28,0.18,0.16,1932000000.0,1717333333.0,2025-04-25
LIN,2020-07-30,1.9,1.65,6377000000.0,5537921052.0,2025-04-25
GOOG,2020-07-30,0.51,0.42,38297000000.0,31529810463.0,2025-07-16
AMZN,2020-07-30,0.52,0.07,88912000000.0,12603060194.0,2025-04-25
META,2020-07-30,1.8,1.39,18687000000.0,14430516666.0,2025-04-25
GOOGL,2020-07-30,0.51,0.41,38297000000.0,31038338598.0,2025-04-25
AZN,2020-07-30,0.48,0.44,6275000000.0,5752083333.0,2025-04-25
AAPL,2020-07-30,0.65,0.51,59685000000.0,46829769230.0,2025-07-09
TMUS,2020-08-06,0.61,0.11,17671000000.0,13744111111.0,2025-04-25
CSCO,2020-08-12,0.8,0.74,12154000000.0,11242450000.0,2025-04-25
NVDA,2020-08-19,0.05,0.05,3866000000.0,3493587155.0,2025-04-24
INTU,2020-08-25,1.81,1.05,1816000000.0,1241365713.0,2025-04-25
AVGO,2020-09-03,0.54,0.52,5821000000.0,5648525925.0,2025-04-25
COST,2020-09-24,3.04,2.84,53383000000.0,49870960526.0,2025-04-24
ASML,2020-10-14,3.47,2.58,4647058115.0,,2025-07-17
TXN,2020-10-20,1.45,1.28,3817000000.0,3369489655.0,2025-04-25
NFLX,2020-10-20,1.74,2.14,6435637000.0,7915093781.0,2025-04-25
TSLA,2020-10-21,0.25,0.18,8771000000.0,6809065789.0,2025-04-25
AMD,2020-10-27,0.41,0.36,2801000000.0,2459414634.0,2025-04-25
MSFT,2020-10-27,1.82,1.54,37154000000.0,31438000000.0,2025-04-24
AMZN,2020-10-29,0.62,0.37,96145000000.0,78677360829.0,2025-04-25
GOOG,2020-10-29,0.82,0.56,46173000000.0,3427252439.0,2025-07-16
GOOGL,2020-10-29,0.82,0.56,46173000000.0,31786168902.0,2025-04-25
META,2020-10-29,2.4,1.91,21470000000.0,15131992619.0,2025-04-25
AAPL,2020-10-29,0.73,0.7,64698000000.0,62039178082.0,2025-07-09
TMUS,2020-11-05,1.0,0.43,19272000000.0,15529646511.0,2025-04-25
LIN,2020-11-05,2.15,1.97,6855000000.0,6228654822.0,2025-04-25
AZN,2020-11-05,0.47,0.44,6578000000.0,6129500000.0,2025-04-25
CSCO,2020-11-12,0.76,0.71,11929000000.0,10906514285.0,2025-04-25
NVDA,2020-11-18,0.07,0.06,4726000000.0,4100770428.0,2025-04-24
INTU,2020-11-19,0.94,0.37,1323000000.0,1179972972.0,2025-04-25
COST,2020-12-10,2.3,2.05,43208000000.0,37912901960.0,2025-04-24
AVGO,2020-12-10,0.64,0.63,6467000000.0,6150943609.0,2025-04-25
NFLX,2021-01-19,1.19,1.39,6644442000.0,7600476820.0,2025-04-25
ASML,2021-01-20,4.68,3.7,5217089981.0,4003132459.0,2025-07-17
MSFT,2021-01-26,2.03,1.64,43076000000.0,40189600000.0,2025-04-24
AMD,2021-01-26,0.52,0.47,3244000000.0,3016740000.0,2025-04-25
TXN,2021-01-26,1.64,1.34,4076000000.0,3163462686.0,2025-04-25
META,2021-01-27,3.88,3.22,28072000000.0,22317316770.0,2025-04-25
AAPL,2021-01-27,1.68,1.41,111439000000.0,90099617021.0,2025-07-09
TSLA,2021-01-27,0.27,0.3,10744000000.0,10196800000.0,2025-04-25
GOOGL,2021-02-02,1.12,0.8,56898000000.0,53074900000.0,2025-04-25
GOOG,2021-02-02,1.12,0.8,56898000000.0,51667227016.0,2025-07-16
AMZN,2021-02-02,0.7,0.36,125555000000.0,120761622016.0,2025-04-25
TMUS,2021-02-04,1.03,0.51,20341000000.0,19903300000.0,2025-04-25
LIN,2021-02-05,2.3,2.14,7272000000.0,6728299065.0,2025-04-25
CSCO,2021-02-09,0.79,0.76,11960000000.0,11487894736.0,2025-04-25
AZN,2021-02-11,0.54,0.53,7410000000.0,8935588235.0,2025-04-25
INTU,2021-02-23,0.68,0.67,1576000000.0,1974329670.0,2025-04-25
NVDA,2021-02-24,0.08,0.07,5003000000.0,4814350000.0,2025-04-24
COST,2021-03-04,2.14,2.45,44769000000.0,50433648979.0,2025-04-24
AVGO,2021-03-04,0.66,0.66,6655000000.0,6604275914.0,2025-04-25
NFLX,2021-04-20,3.75,2.97,7163282000.0,7135400000.0,2025-04-25
ASML,2021-04-21,4.66,3.64,5132750084.0,3150100000.0,2025-07-17
TSLA,2021-04-26,0.31,0.26,10389000000.0,9976330000.0,2025-04-25
AMD,2021-04-27,0.52,0.44,3445000000.0,3204420000.0,2025-04-25
MSFT,2021-04-27,1.95,1.78,41706000000.0,41032800000.0,2025-04-24
GOOGL,2021-04-27,1.31,0.79,55314000000.0,46297503317.0,2025-04-25
TXN,2021-04-27,1.85,1.58,4289000000.0,3977860000.0,2025-04-25
GOOG,2021-04-27,1.31,0.79,55314000000.0,47157100785.0,2025-07-16
AAPL,2021-04-28,1.4,0.99,89584000000.0,76920700000.0,2025-07-09
META,2021-04-28,3.3,2.37,26171000000.0,23516800000.0,2025-04-25
AMZN,2021-04-29,0.79,0.48,108518000000.0,92624208018.0,2025-04-25
AZN,2021-04-30,0.81,0.71,7320000000.0,6636800000.0,2025-04-25
TMUS,2021-05-04,0.74,0.57,19759000000.0,18935500000.0,2025-04-25
LIN,2021-05-06,2.49,2.26,7243000000.0,6505880530.0,2025-04-25
CSCO,2021-05-19,0.83,0.82,12803000000.0,,2025-04-25
INTU,2021-05-25,6.07,6.47,4173000000.0,4622390000.0,2025-04-25
NVDA,2021-05-26,0.09,0.08,5661000000.0,5318430000.0,2025-04-24
COST,2021-05-27,2.75,2.34,45277000000.0,37343850427.0,2025-04-24
AVGO,2021-06-03,0.66,0.64,6610000000.0,6504910000.0,2025-04-25
NFLX,2021-07-20,2.97,3.16,7341777000.0,7477820000.0,2025-04-25
ASML,2021-07-21,3.58,3.45,4769739488.0,6347800000.0,2025-07-17
TXN,2021-07-21,2.05,1.83,4580000000.0,4636870000.0,2025-04-25
TSLA,2021-07-26,0.48,0.33,11958000000.0,8644038631.0,2025-04-25
AMD,2021-07-27,0.63,0.54,3850000000.0,4112030000.0,2025-04-25
GOOG,2021-07-27,1.36,0.96,61880000000.0,63337000000.0,2025-07-16
MSFT,2021-07-27,2.17,1.92,46152000000.0,43962700000.0,2025-04-24
AAPL,2021-07-27,1.3,1.01,81434000000.0,84581900000.0,2025-07-09
GOOGL,2021-07-27,1.36,0.97,61880000000.0,63237000000.0,2025-04-25
META,2021-07-28,3.61,3.03,29077000000.0,29481700000.0,2025-04-25
AMZN,2021-07-29,0.76,0.62,113080000000.0,111678000000.0,2025-04-25
TMUS,2021-07-29,0.78,0.53,19950000000.0,19344400000.0,2025-04-25
AZN,2021-07-29,0.45,0.43,8220000000.0,7585480000.0,2025-04-25
LIN,2021-07-30,2.7,2.56,7584000000.0,7584000000.0,2025-04-25
NVDA,2021-08-18,0.1,0.1,6507000000.0,6816700000.0,2025-04-24
CSCO,2021-08-18,0.84,0.82,13126000000.0,12987300000.0,2025-04-25
INTU,2021-08-24,1.97,1.59,2561000000.0,1812260000.0,2025-04-25
AVGO,2021-09-02,0.7,0.69,6778000000.0,6428386023.0,2025-04-25
COST,2021-09-23,3.9,3.57,62675000000.0,61405786462.0,2025-04-24
NFLX,2021-10-19,3.19,2.56,7483467000.0,7476910000.0,2025-04-25
TSLA,2021-10-20,0.62,0.53,13757000000.0,13148600000.0,2025-04-25
ASML,2021-10-20,5.84,5.58,6083522749.0,6347800000.0,2025-07-17
META,2021-10-25,3.22,3.19,29010000000.0,29545600000.0,2025-04-25
GOOGL,2021-10-26,1.4,1.17,65118000000.0,63259500000.0,2025-04-25
GOOG,2021-10-26,1.4,1.17,65118000000.0,63378600000.0,2025-07-16
AMD,2021-10-26,0.73,0.67,4313000000.0,4107640000.0,2025-04-25
TXN,2021-10-26,2.07,2.05,4643000000.0,4636870000.0,2025-04-25
MSFT,2021-10-26,2.27,2.07,45317000000.0,44002200000.0,2025-04-24
AAPL,2021-10-28,1.24,1.24,83360000000.0,117986000000.0,2025-07-09
LIN,2021-10-28,2.73,2.68,7668000000.0,7496340000.0,2025-04-25
AMZN,2021-10-28,0.31,0.45,110812000000.0,137634000000.0,2025-04-25
TMUS,2021-11-02,0.55,0.53,19624000000.0,20064200000.0,2025-04-25
AZN,2021-11-12,0.54,0.63,9866000000.0,11275428571.0,2025-04-25
CSCO,2021-11-17,0.82,0.8,12900000000.0,12987300000.0,2025-04-25
NVDA,2021-11-17,0.12,0.11,7103000000.0,7413390000.0,2025-04-24
INTU,2021-11-18,1.53,0.97,2007000000.0,1812260000.0,2025-04-25
AVGO,2021-12-09,0.78,0.78,7407000000.0,7579510000.0,2025-04-25
COST,2021-12-09,2.98,2.64,50363000000.0,49651758591.0,2025-04-24
ASML,2022-01-19,5.67,4.83,5652227567.0,5942520000.0,2025-07-17
NFLX,2022-01-20,1.33,0.82,7709318000.0,7935300000.0,2025-04-25
TXN,2022-01-25,2.27,1.94,4832000000.0,4728790000.0,2025-04-25
MSFT,2022-01-25,2.48,2.31,51728000000.0,50738946323.0,2025-04-24
TSLA,2022-01-26,0.85,0.79,17719000000.0,15747600000.0,2025-04-25
AAPL,2022-01-27,2.1,1.89,123945000000.0,119002502550.0,2025-07-09
GOOGL,2022-02-01,1.53,1.37,75325000000.0,72270996583.0,2025-04-25
AMD,2022-02-01,0.92,0.76,4826000000.0,4522709249.0,2025-04-25
GOOG,2022-02-01,1.53,1.38,75325000000.0,72270996583.0,2025-07-16
TMUS,2022-02-02,1.1,0.16,20785000000.0,20577149998.0,2025-04-25
META,2022-02-02,3.67,3.84,33671000000.0,33370161276.0,2025-04-25
AMZN,2022-02-03,1.39,0.19,137412000000.0,137681864590.0,2025-04-25
AZN,2022-02-10,0.84,0.77,12011000000.0,11156200000.0,2025-04-25
LIN,2022-02-10,2.77,2.67,8298000000.0,6782450000.0,2025-04-25
CSCO,2022-02-16,0.84,0.81,12720000000.0,12663781128.0,2025-04-25
NVDA,2022-02-16,0.13,0.12,7643000000.0,7420320441.0,2025-04-24
INTU,2022-02-24,1.55,1.83,2673000000.0,2725371092.0,2025-04-25
AVGO,2022-03-03,0.84,0.82,7706000000.0,7606374830.0,2025-04-25
COST,2022-03-03,2.92,2.74,51904000000.0,51534264670.0,2025-04-24
NFLX,2022-04-19,3.53,2.89,7867767000.0,7929118675.0,2025-04-25
ASML,2022-04-20,3.59,1.89,3909488200.0,3860390204.0,2025-07-17
TSLA,2022-04-20,1.07,0.75,18756000000.0,17868578587.0,2025-04-25
MSFT,2022-04-26,2.22,2.19,49360000000.0,49022594536.0,2025-04-24
GOOGL,2022-04-26,1.23,1.3,68011000000.0,68055248066.0,2025-04-25
TXN,2022-04-26,2.35,2.18,4905000000.0,4741310323.0,2025-04-25
GOOG,2022-04-26,1.23,1.29,68011000000.0,68055248066.0,2025-07-16
TMUS,2022-04-27,0.57,0.33,20120000000.0,20134007184.0,2025-04-25
META,2022-04-27,2.72,2.56,27908000000.0,28278997754.0,2025-04-25
AAPL,2022-04-28,1.52,1.43,97278000000.0,94033796672.0,2025-07-09
AMZN,2022-04-28,0.21,0.44,116444000000.0,116450273046.0,2025-04-25
LIN,2022-04-28,2.93,2.78,8211000000.0,7729840000.0,2025-04-25
AZN,2022-04-29,0.95,0.86,11390000000.0,10990600000.0,2025-04-25
AMD,2022-05-03,1.13,0.91,5887000000.0,5006769973.0,2025-04-25
CSCO,2022-05-18,0.87,0.86,12835000000.0,13367326943.0,2025-04-25
INTU,2022-05-24,7.65,7.58,5632000000.0,5513877034.0,2025-04-25
NVDA,2022-05-25,0.14,0.13,8288000000.0,8123361361.0,2025-04-24
AVGO,2022-05-26,0.91,0.87,8103000000.0,7911628296.0,2025-04-25
COST,2022-05-26,3.17,3.03,52596000000.0,,2025-04-24
NFLX,2022-07-19,3.2,2.94,7970141000.0,8026263897.0,2025-04-25
TSLA,2022-07-20,0.76,0.6,16934000000.0,16539370385.0,2025-04-25
ASML,2022-07-20,3.85,3.89,5680409799.0,5541778680.0,2025-07-17
MSFT,2022-07-26,2.23,2.29,51865000000.0,52384293387.0,2025-04-24
TXN,2022-07-26,2.45,2.12,5212000000.0,4639143912.0,2025-04-25
GOOGL,2022-07-26,1.21,1.28,69685000000.0,69798841230.0,2025-04-25
GOOG,2022-07-26,1.21,1.3,69685000000.0,69798841230.0,2025-07-16
TMUS,2022-07-27,1.43,0.41,19701000000.0,20097068849.0,2025-04-25
META,2022-07-27,2.46,2.59,28822000000.0,28908384447.0,2025-04-25
AAPL,2022-07-28,1.2,1.16,82959000000.0,82791243730.0,2025-07-09
LIN,2022-07-28,3.1,2.98,8457000000.0,8355342556.0,2025-04-25
AMZN,2022-07-28,0.1,0.15,121234000000.0,118999465993.0,2025-04-25
AZN,2022-07-29,0.86,0.78,10771000000.0,10454504891.0,2025-04-25
AMD,2022-08-02,1.05,1.03,6550000000.0,6529838164.0,2025-04-25
CSCO,2022-08-17,0.83,0.82,13102000000.0,12732066990.0,2025-04-25
INTU,2022-08-23,1.1,0.98,2414000000.0,2343204793.0,2025-04-25
NVDA,2022-08-24,0.05,0.06,6704000000.0,6699486570.0,2025-04-24
AVGO,2022-09-01,0.97,0.96,8464000000.0,8410775320.0,2025-04-25
COST,2022-09-22,4.2,4.17,72091000000.0,70800000000.0,2025-04-24
NFLX,2022-10-18,3.1,2.13,7925589000.0,7838110575.0,2025-04-25
TSLA,2022-10-19,1.05,0.99,21454000000.0,21982042234.0,2025-04-25
ASML,2022-10-19,4.25,3.94,5642929839.0,5490245656.0,2025-07-17
MSFT,2022-10-25,2.35,2.3,50122000000.0,49609203885.0,2025-04-24
GOOGL,2022-10-25,1.06,1.25,69092000000.0,70976575302.0,2025-04-25
GOOG,2022-10-25,1.06,1.25,69092000000.0,70976575302.0,2025-07-16
TXN,2022-10-25,2.45,2.39,5241000000.0,5142676069.0,2025-04-25
META,2022-10-26,1.64,1.89,27714000000.0,27439470981.0,2025-04-25
